event_id,fold,y_pred,y_actual,bet_side,bookmaker,american_odds,decimal_odds,won,pnl,clv,mode
op_2022-2023_NYK_CHA_2023-03-08,0,-0.010040970519185066,-0.00942023005336523,away,bet365,400,5.0,True,400.0,0.00942023005336523,best_available
op_2022-2023_HOU_BKN_2023-03-08,0,0.00619314843788743,0.04199978709220886,home,betfred,300,4.0,False,-100.0,0.04199978709220886,best_available
op_2022-2023_OKC_GSW_2023-03-08,0,0.026492441073060036,0.021386053413152695,home,bet365,165,2.65,True,165.0,0.021386053413152695,best_available
op_2022-2023_NOP_DAL_2023-03-09,0,-0.012739045545458794,-0.020028594881296158,away,bet365,-130,1.7692307692307692,False,-100.0,0.020028594881296158,best_available
op_2022-2023_BOS_POR_2023-03-09,0,-0.012566420249640942,-0.011575811542570591,away,betway,450,5.5,False,-100.0,0.011575811542570591,best_available
op_2022-2023_DET_CHA_2023-03-10,0,0.011925339698791504,-0.016512900590896606,home,bet365,130,2.3,False,-100.0,-0.016512900590896606,best_available
op_2022-2023_IND_HOU_2023-03-10,0,-0.009585140272974968,-0.00942023005336523,away,bet365,400,5.0,False,-100.0,0.00942023005336523,best_available
op_2022-2023_MEM_GSW_2023-03-10,0,0.019331837072968483,-0.02658463455736637,home,bet365,115,2.15,True,114.99999999999999,-0.02658463455736637,best_available
op_2022-2023_MIL_BKN_2023-03-10,0,-0.007794789969921112,-0.06515251845121384,away,betway,650,7.5,False,-100.0,0.06515251845121384,best_available
op_2022-2023_SAS_DEN_2023-03-11,0,0.011619248427450657,0.0,home,betfred,600,7.0,True,600.0,0.0,best_available
op_2022-2023_MIA_CLE_2023-03-11,0,-0.008228948339819908,0.1009177714586258,away,bet365,-120,1.8333333333333335,False,-100.0,-0.1009177714586258,best_available
op_2022-2023_MIN_BKN_2023-03-11,0,-0.013865322805941105,-0.024139638990163803,away,bet365,170,2.7,True,170.00000000000003,0.024139638990163803,best_available
op_2022-2023_LAL_TOR_2023-03-11,0,-0.020058942958712578,-0.1009177714586258,away,bet365,100,2.0,False,-100.0,0.1009177714586258,best_available
op_2022-2023_LAC_NYK_2023-03-11,0,-0.02216172404587269,-0.014253811910748482,away,bet365,185,2.85,False,-100.0,0.014253811910748482,best_available
op_2022-2023_ORL_MIA_2023-03-12,0,-0.007846971973776817,-0.008343840017914772,away,bet365,-141,1.7092198581560285,False,-100.0,0.008343840017914772,best_available
op_2022-2023_HOU_CHI_2023-03-12,0,0.011798683553934097,-0.007252777460962534,home,bet365,240,3.4,False,-100.0,-0.007252777460962534,best_available
op_2022-2023_NOP_OKC_2023-03-12,0,-0.005461349617689848,-0.1187175065279007,away,bet365,155,2.55,True,154.99999999999997,0.1187175065279007,best_available
op_2022-2023_PHX_SAC_2023-03-12,0,0.015437637455761433,0.016512900590896606,home,bet365,-149,1.6711409395973154,False,-100.0,0.016512900590896606,best_available
op_2022-2023_CHA_CLE_2023-03-12,0,0.013706441968679428,-0.056814827024936676,home,betway,290,3.9,False,-100.0,-0.056814827024936676,best_available
op_2022-2023_PHI_WAS_2023-03-12,0,0.007020251359790564,0.0,home,bet365,-303,1.33003300330033,True,33.003300330033,0.0,best_available
op_2022-2023_NOP_POR_2023-03-12,0,0.005256868898868561,0.008343840017914772,home,bwin,-133,1.7518796992481203,True,75.18796992481202,0.008343840017914772,best_available
op_2022-2023_ATL_MIN_2023-03-13,0,-0.011145793832838535,0.0057523506693542,away,betway,175,2.75,True,175.0,-0.0057523506693542,best_available
op_2022-2023_GSW_PHX_2023-03-14,0,-0.01773514412343502,-0.004728139378130436,away,bet365,167,2.67,False,-100.0,0.004728139378130436,best_available
op_2022-2023_SAC_MIL_2023-03-14,0,-0.011777246370911598,-0.09265029430389404,away,betfred,-110,1.9090909090909092,True,90.90909090909092,0.09265029430389404,best_available
op_2022-2023_WAS_DET_2023-03-14,0,-0.008502938784658909,0.047513727098703384,away,betfred,500,6.0,False,-100.0,-0.047513727098703384,best_available
op_2022-2023_CHA_CLE_2023-03-14,0,-0.04297441989183426,0.06881105154752731,away,bet365,-303,1.33003300330033,True,33.003300330033,-0.06881105154752731,best_available
op_2022-2023_TOR_DEN_2023-03-14,0,-0.018011001870036125,-0.043301768600940704,away,bet365,-105,1.9523809523809523,False,-100.0,0.043301768600940704,best_available
op_2022-2023_SAS_ORL_2023-03-15,0,0.009142948314547539,-0.046279456466436386,home,bet365,180,2.8,True,179.99999999999997,-0.046279456466436386,best_available
op_2022-2023_NOP_LAL_2023-03-15,0,0.023771515116095543,0.010904894210398197,home,bet365,-115,1.8695652173913042,False,-100.0,0.010904894210398197,best_available
op_2022-2023_OKC_BKN_2023-03-15,0,-0.013610715977847576,-0.03190930187702179,away,bet365,110,2.1,False,-100.0,0.03190930187702179,best_available
op_2022-2023_POR_NYK_2023-03-15,0,0.028557898476719856,-0.03085487149655819,home,bet365,100,2.0,False,-100.0,-0.03085487149655819,best_available
op_2022-2023_MIA_MEM_2023-03-15,0,-0.014527234248816967,0.00750607019290328,away,bet365,145,2.45,False,-100.0,-0.00750607019290328,best_available
op_2022-2023_MIN_BOS_2023-03-16,0,-0.01776319183409214,-0.015232974663376808,away,bet365,-164,1.6097560975609757,True,60.97560975609757,0.015232974663376808,best_available
op_2022-2023_HOU_LAL_2023-03-16,0,-0.030560379847884178,-0.020028594881296158,away,bet365,-130,1.7692307692307692,False,-100.0,0.020028594881296158,best_available
op_2022-2023_SAS_DAL_2023-03-16,1,0.012677893042564392,0.05526917800307274,home,bwin,185,2.85,False,-100.0,0.05526917800307274,best_available
op_2022-2023_LAC_GSW_2023-03-16,1,0.024080779403448105,0.02837243489921093,home,bet365,-130,1.7692307692307692,True,76.92307692307692,0.02837243489921093,best_available
op_2022-2023_TOR_OKC_2023-03-16,1,0.0055326842702925205,0.011447581462562084,home,bwin,-227,1.4405286343612334,True,44.05286343612333,0.011447581462562084,best_available
op_2022-2023_MIL_IND_2023-03-17,1,-0.014976811595261097,-0.0281910989433527,away,betway,750,8.5,True,750.0,0.0281910989433527,best_available
op_2022-2023_CHA_PHI_2023-03-17,1,-0.013414261862635612,-0.03357771411538124,away,bet365,-417,1.2398081534772183,True,23.98081534772183,0.03357771411538124,best_available
